x_m,y_m
-1.751824731689816108e+06,-3.716753308316858602e+05
-1.751450364453903632e+06,-3.711747794495887356e+05
-1.751449884004035266e+06,-3.700499325283216895e+05
-1.750825297527112300e+06,-3.693003857578646275e+05
-1.750949615187293850e+06,-3.683000225808540126e+05
-1.749450011291032191e+06,-3.666750757548529073e+05
-1.749075108764739009e+06,-3.666752746568446746e+05
-1.748949973049609223e+06,-3.653004098411584273e+05
-1.747699189266334055e+06,-3.635501177344746538e+05
-1.747699311574382940e+06,-3.633840682829344296e+05
-1.747677264909628779e+06,-3.633823045497540734e+05
-1.747190666721034562e+06,-3.631876652743164450e+05
-1.745244273966658628e+06,-3.627659468442016514e+05
-1.744692796019585337e+06,-3.623117885348472046e+05
-1.744335957347949734e+06,-3.615981111915759975e+05
-1.744271077589470427e+06,-3.606249148143879138e+05
-1.744595476381866494e+06,-3.598139178333978634e+05
-1.745374033483617008e+06,-3.592300000070850365e+05
-1.745763312034492148e+06,-3.591326803693662514e+05
-1.746249910223086132e+06,-3.592948797655642265e+05
-1.746574309015482198e+06,-3.593921994032830698e+05
-1.747190666721034562e+06,-3.593273196448038798e+05
-1.747709704788868316e+06,-3.594246392825226649e+05
-1.748911836588171776e+06,-3.597852788223137031e+05
-1.748951098791158525e+06,-3.595500353127241833e+05
-1.749336299546844792e+06,-3.583703441429733648e+05
-1.749604557060144376e+06,-3.574334585416617920e+05
-1.750480227282224223e+06,-3.563081203478848329e+05
-1.750776631478451192e+06,-3.548872158352058614e+05
-1.751689389280111063e+06,-3.533320829779236228e+05
-1.751629119851116324e+06,-3.527928413224464166e+05
-1.751204867114350665e+06,-3.512931549579242128e+05
-1.751631812659339281e+06,-3.509793037767580827e+05
-1.750971495607249672e+06,-3.504968131746143335e+05
-1.750538006631448632e+06,-3.496856925553338369e+05
-1.750184848613672657e+06,-3.493044629298572545e+05
-1.749494597306140931e+06,-3.497694313438563258e+05
-1.748827726442999206e+06,-3.487793598949240986e+05
-1.747793299705083948e+06,-3.480881364236425725e+05
-1.747091668330930406e+06,-3.478591525078585837e+05
-1.746242217182537774e+06,-3.478488492320459336e+05
-1.745917528305887477e+06,-3.477568587785774143e+05
-1.745420270158219850e+06,-3.476875350002086489e+05
-1.744551123724916484e+06,-3.472006789062168682e+05
-1.742707982338097645e+06,-3.466758426840121392e+05
-1.742161968102046754e+06,-3.462062175001828582e+05
-1.741779089745159028e+06,-3.453830512207467109e+05
-1.741343916963143740e+06,-3.443654229697368573e+05
-1.741027914268311346e+06,-3.439025750463894801e+05
-1.741026177724086214e+06,-3.435011891324230237e+05
-1.741103158458400285e+06,-3.428571724608079530e+05
-1.741626598639892647e+06,-3.417936954619745957e+05
-1.741828760926226387e+06,-3.414128274716438609e+05
-1.741934125787390862e+06,-3.406150965079470188e+05
-1.741990289734137012e+06,-3.397322074353237404e+05
-1.742209049528508913e+06,-3.393166269231830956e+05
-1.741952125212873798e+06,-3.385395689274533652e+05
-1.742125990948301973e+06,-3.380964775271898834e+05
-1.742196907528836280e+06,-3.374687523025894188e+05
-1.741935687604988459e+06,-3.364026960336953052e+05
-1.741806775764326099e+06,-3.357905676684881328e+05
-1.741963124062106246e+06,-3.354615410403396818e+05
-1.742076682263890980e+06,-3.349921825114710373e+05
-1.742524760756533593e+06,-3.342273812404443743e+05
-1.742633800478815101e+06,-3.339054779992724070e+05
-1.742256147055296693e+06,-3.324381063488557702e+05
-1.741932766449279385e+06,-3.312000440745913074e+05
-1.741966262926714960e+06,-3.306478903022451559e+05
-1.742043835499601439e+06,-3.303523655073541449e+05
-1.742141667826411780e+06,-3.298951031042602262e+05
-1.742195157459922833e+06,-3.295443062087066937e+05
-1.742264365994633874e+06,-3.290871587771833874e+05
-1.742343898473970592e+06,-3.286430195421355311e+05
-1.742481278109335573e+06,-3.282244341447224142e+05
-1.742636762054855237e+06,-3.278964397064560908e+05
-1.742886696122777415e+06,-3.275916870129443705e+05
-1.743534138595004333e+06,-3.268498161955776159e+05
-1.744073497117968742e+06,-3.263848203490325832e+05
-1.744484832896247040e+06,-3.263048009662738768e+05
-1.744777437842908548e+06,-3.263722769280303619e+05
-1.745185838881299365e+06,-3.263952766435088124e+05
-1.745749066933569498e+06,-3.265696653018050129e+05
-1.746275509871870745e+06,-3.267752430107322289e+05
-1.746672448911493178e+06,-3.265791912912245607e+05
-1.746327923405616544e+06,-3.257307456474161008e+05
-1.746390221466031391e+06,-3.249579544477215386e+05
-1.746760618506336818e+06,-3.242323192721912055e+05
-1.747336107678666478e+06,-3.239427433399785659e+05
-1.747818165314074373e+06,-3.239529118727873429e+05
-1.748715591715258313e+06,-3.241707904308568104e+05
-1.749344567254488356e+06,-3.242139003073737258e+05
-1.749737988627843559e+06,-3.240576342692436301e+05
-1.750000513801508117e+06,-3.236237575098207453e+05
-1.750499034786278382e+06,-3.219458902645242051e+05
-1.751185272456168663e+06,-3.219715748045436339e+05
-1.751664848930245964e+06,-3.219153127811261220e+05
-1.751998908503398066e+06,-3.219400471677891910e+05
-1.752432883075596066e+06,-3.222955260434069787e+05
-1.753135373184462078e+06,-3.230269036656078533e+05
-1.753405165750587825e+06,-3.236473335203566821e+05
-1.753386988614234375e+06,-3.242389036252063233e+05
-1.752324636863657739e+06,-3.257539180445459206e+05
-1.752284713738210499e+06,-3.261996145710405544e+05
